time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
1970/01/01/01:00:08.213000,405,8,213000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.159500993933838, -0.004431383118155274, 1.1876333457665469, -2.2630672374677285, 0.06471220696382307, 0.7767691388387528, -2.2645605435075122, -0.024489791682254847, 0.8337963593204094, -2.1893367411323164, -0.007686813657442393, 1.1676900090183295)","(0.47389687646067435, -0.35725289372926305, 1.9015155092510585, 2.992124744909896, 0.9171605829683509, -6.2786968104778795, 2.749867644949064, -0.31720802691602, -5.425503430808638, 0.6210709242616126, 0.07835034842986116, 2.21243092117422)","(9.23467421635273, -3.607062563138139, -2.514706209133107, -0.014600960156332832, -1.287808700056548, 2.60917220535546, 0.11049400536211706, 0.9141844115735676, 2.109125416371233, 17.105872010873945, 3.1535421461637134, 3.6349461102484915)"
1970/01/01/01:00:08.233000,406,8,233000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.155276847291681, -0.012108378223502747, 1.2298245974624962, -2.1931969154739743, 0.0762724061006601, 0.6821624089249996, -2.198735259763808, -0.028691998246090478, 0.749975005973285, -2.182497784478934, -0.006195491130347008, 1.2162067895122854)","(0.5858373251724571, -0.383744014712347, 1.9402228482211759, 3.859537004675203, 0.22169809808167867, -2.930477389032565, 3.7515963907860135, -0.07499575902102301, -2.7403412535873346, 0.8756751940873526, 0.09475473196971451, 2.175794556279365)","(8.955756509232494, -3.4599187855362334, -3.7211342286413265, 0.8672921232041908, -1.8639278895160367, 3.3909041884342264, 0.9211303991583257, 1.2867993262259803, 2.75541495248478, 16.66648546655989, 3.349522609844504, 2.25941025894147)"
1970/01/01/01:00:08.253000,407,8,253000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1525032348016193, -0.02538879673140837, 1.2629171910240924, -2.118718212670222, 0.07116263786265797, 0.6608192698766109, -2.1714774995945003, -0.03173153613924651, 0.7403792691043964, -2.163019854344153, -0.0009709702339257831, 1.2534298868986191)","(0.30701569601628353, -1.1302251344252991, 0.7330156913133528, 3.370821507247222, -0.597280202142908, 0.8887203836886137, 1.4983745846786412, 0.08908668644692008, 0.6931650681614661, 1.7812936660333678, 0.559088770641611, 1.5012396055524433)","(11.545609861801665, 1.4967532144993836, 3.382660795415288, 2.0526861592394994, -0.8528559322524016, 3.227464541622111, 21.095440114621262, 2.118733867904867, -2.5410971632575174, 10.773297247237863, 0.2857766089098206, 6.427785877298341)"
1970/01/01/01:00:08.273000,408,8,273000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1429496384409656, -0.047264124375129946, 1.287048410785176, -2.0774792650345777, 0.06018334973195216, 0.7130153437494826, -2.149781659640313, -0.03004772316224802, 0.7589513673453601, -2.127084295046372, 0.01039998043744994, 1.29580639183932)","(1.1811518652840736, -0.6735924486329623, 2.515425702120199, 0.6681653824719542, -0.6018893919959329, 3.271350827613051, 1.0130261038466217, 0.14027905119395412, 1.4135788190098864, 1.8859302968209097, 0.5027979284125897, 3.3209239889377944)","(4.195166861899748, 0.9742708438769394, 4.830844175458535, -0.04746048542097425, -1.4404761513440845, -2.161176760816936, 10.61877454795345, 2.345438299557168, 7.267153882478643, 5.0482431991340775, -0.9842849060132295, 4.1864170596358665)"
1970/01/01/01:00:08.293000,409,8,293000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1392216066926366, -0.06233693790566708, 1.3632363752228072, -2.076662081649687, 0.048425211556725856, 0.7719687031290361, -2.1419403143490197, -0.026673630276955684, 0.792818736771788, -2.106834984614947, 0.01912548157785743, 1.383052459490849)","(-1.0874303876655969, -0.6861861494301975, 4.310667370115653, -0.2959640256778613, -0.5341893995875204, 2.7380489915312163, 0.25872602016677204, 0.23042872723550945, 1.7589024031842642, -0.3280727177384639, 0.3265545561233341, 4.718664665815194)","(-0.46777700594797, 0.49371250219439333, -0.23984487076869954, -0.08126900090204414, -0.1678231936879797, -0.2620568398915273, 9.041063134573363, 1.6072997421058461, 6.705203493754411, -0.6042391663307498, -0.71030353312956, -0.4450086461801295)"
1970/01/01/01:00:08.313000,410,8,313000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.169852018387127, -0.0658147842780421, 1.4393682972706925, -2.0958699974725192, 0.033234025971065506, 0.8307592597209741, -2.1453091713153736, -0.020858051465444838, 0.830118122781716, -2.1317956837968115, 0.02904932126550186, 1.4683975907627485)","(-1.9142044823484727, 0.050092041418486166, 3.088677425158508, -1.2559915940419013, -0.8298320236370816, 3.0915326808458037, -0.17491272780230416, 0.4201528468460106, 1.9172082618851676, -1.8563393835292041, 0.4634649395069879, 3.449578397676663)","(-1.0954747724164253, -0.36672957220599, -1.420402422790457, 7.933837399860478, 1.8388095231096648, -3.8940911720378875, 10.221603007227827, -0.8519847139290868, 6.755505390462629, -1.6377301309930221, -0.38651326502736394, -1.2809207418127908)"
1970/01/01/01:00:08.333000,411,8,333000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.210486310851607, -0.06446635876420181, 1.4776757974960164, -2.1235123427470697, 0.020917312900195384, 0.892851827234554, -2.1547440509575413, -0.011508178023348137, 0.8711314387590514, -2.1729920236498597, 0.03309215393926479, 1.5115031002857169)","(-2.155045505223348, 0.13284392295038963, 0.6254563788078995, -0.9242067980169644, -0.4881751055401171, 2.8712725103675076, -0.23100968516989262, 0.4846469846384882, 1.9619366672656684, -2.3278739543263613, 0.006180198886080263, 0.7676579336904465)","(-1.712498954220449, -0.44376322229476584, -1.2340289128132642, 10.040197684793311, 1.1774404690153417, -4.832089958543066, 11.816383253113752, -2.0794127657007477, 6.678251515539779, -1.898723418957057, 0.03382609226821848, -1.3815674422657718)"
1970/01/01/01:00:08.353000,412,8,353000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.250627129781247, -0.05747679179270904, 1.4621780124561177, -2.144852994042708, 0.012680475368878064, 0.9508115496006866, -2.1641803517327105, -0.0026643959040884013, 0.912480140189861, -2.2199597785336174, 0.030056973002866805, 1.4972547316979226)","(-1.9799843929004435, 0.49017790820629686, -2.124932417895991, -0.492522403283723, -0.38375223952921894, 2.6213297478390793, -0.1518334138849604, 0.39825147119184423, 1.9500032596942733, -2.4601964048555223, -0.25831842063149507, -2.1796295285317675)","(-1.7121226246782482, -0.31393639392024153, -0.8900640331854106, 11.222704641739591, 0.9027261051636166, -5.034704505090838, 12.89327723223831, -2.4797948715921203, 6.79484070359486, -1.8760250535795189, 0.17701797537348052, -1.1763379648839383)"
1970/01/01/01:00:08.372000,413,8,373000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.284597171175733, -0.043581123772742814, 1.395206665852438, -2.157636474038064, 0.005435077318168169, 1.0045530246762926, -2.1721887620616798, 0.004147650546632242, 0.9541932867552312, -2.265136283759693, 0.022776028640826063, 1.4262458695937577)","(-1.5315276663512094, 0.7882652233842943, -4.393401730086744, -0.03592180056998506, -0.3664626191235574, 2.4008056884395086, -0.04389433753487526, 0.2969204172926354, 1.9562135095812796, -2.1298551721620633, -0.39830877392506153, -4.773699252642858)","(-1.4589084330765902, -0.07048965714181832, -0.3520454137648432, 11.240919299186926, 0.9413738581583662, -4.909187256351176, 13.88568317846771, -2.4160890411733935, 6.551661061812844, -1.7248801173307422, 0.15798720127808796, -0.603882163876392)"
1970/01/01/01:00:08.393000,414,8,393000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.3074261973628474, -0.025184282589514773, 1.2904099301042251, -2.1617698276033916, -0.001945567118472269, 1.0543718140346536, -2.1782989585454917, 0.009176423724538196, 0.9962075621766591, -2.2989716270823504, 0.013285703669162707, 1.3098347233358476)","(-0.8384878703699545, 0.9575163470872714, -5.906659398075651, 0.3490389539801746, -0.3792040430254276, 2.211446738067952, 0.08586722143105585, 0.2274215052759927, 1.9397617180667321, -1.3288266939138786, -0.46767150079891534, -6.681226653128296)","(-1.1887379769281279, 0.1889468854672085, 0.15331646948731503, 10.604601189472119, 1.1614444429185034, -4.556347568802298, 14.759884345730015, -2.235832133396871, 6.177034342031027, -1.4942433728053999, -0.00466147228215541, -0.005772230865595418)"
