time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
1970/01/01/01:00:07.013000,345,7,13000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003810148493, -0.0006808289751409902, 1.0610672297531485, -2.119157740226326, 0.002535067725734308, 1.0600006349663609, -2.1419859439149747, 0.00045896310728821277, 1.0305751343536826, -2.1391757672157965, -0.0011831779911224416, 1.0341495439416262)","(0.12588734902739954, 0.0011065669914717376, -0.06602258056082777, 0.11442137255508981, -0.0007421498919024283, -0.0598621406242245, 0.14902712364143378, 0.0013522196123739532, -0.07348039982362367, 0.14375719832580486, -0.000789950343929658, -0.07144967922514854)","(4.034232367434402, 0.11594429358300479, -2.1004014573199368, 3.770735690949147, -0.45188799367339666, -1.9453771991872808, 7.6721777218162766, -0.09068340991366299, 3.432922541228994, 7.197965436499997, 0.2176741262427143, 2.7773446493027003)"
1970/01/01/01:00:07.033000,346,7,33000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003854369209, -0.0006773023823898328, 1.0610672213828272, -2.119157778296433, 0.002531548493703184, 1.0600006087463285, -2.1419859939945436, 0.000463475274170122, 1.030575114741124, -2.1391758303043567, -0.0011876945858739774, 1.0341495473688243)","(0.12588720087630048, 0.00110614314399847, -0.06602247997994039, 0.11442120221878344, -0.0007417667195885218, -0.059862055066329536, 0.1490268951604975, 0.0013515331875162558, -0.07348025659928498, 0.14375725554764562, -0.0007893536385954604, -0.07144971073647163)","(4.03424121832812, 0.11531203657023666, -2.1004005527922325, 3.770743564104508, -0.45125682133054235, -1.9453729940125577, 7.672188107523904, -0.09149148661443474, 3.432925214531708, 7.197976449584123, 0.21848354198674647, 2.777344219009225)"
1970/01/01/01:00:07.053000,347,7,53000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003898307447, -0.0006737772904550354, 1.0610672131543124, -2.1191578165666733, 0.002528030327576758, 1.0600005824171035, -2.1419860440485223, 0.00046798679772486196, 1.0305750954178379, -2.139175893311542, -0.001192210210491318, 1.0341495504991052)","(0.12588705169294534, 0.0011057197269879007, -0.06602237918098332, 0.11442103303033963, -0.0007413834009682126, -0.05986196980200151, 0.14902666759123637, 0.0013508482023558486, -0.07348011419484062, 0.14375731189267602, -0.0007887559697144419, -0.07144974145787589)","(4.034250024520733, 0.11468004716707296, -2.100399675123676, 3.7707514664440525, -0.4506258416792261, -1.9453687673962317, 7.672198483162413, -0.09229945643249936, 3.432927840625661, 7.1979874532726, 0.2192927775140759, 2.7773438374791244)"
1970/01/01/01:00:07.073000,348,7,73000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003941969728, -0.0006702536941221027, 1.061067205065096, -2.1191578550305845, 0.00252451323301095, 1.0600005559812278, -2.1419860940751505, 0.00047249764921364346, 1.030575076376719, -2.1391759562390433, -0.001196724842935204, 1.0341495533395504)","(0.12588690151351106, 0.0011052967301223905, -0.06602227817033506, 0.114420864953848, -0.0007409999461858442, -0.059861884825426315, 0.14902644090642758, 0.0013501646088330726, -0.07347997258279913, 0.14375736738734057, -0.000788157384499016, -0.07144977141695663)","(4.034258786970222, 0.114048324494358, -2.1003988238227254, 3.770759397020178, -0.44999505567900766, -1.9453645198333174, 7.672208848579683, -0.09310731389685004, 3.4329304206317737, 7.197998447713759, 0.2201018291320056, 2.7773435035992535)"
1970/01/01/01:00:07.093000,349,7,93000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210039853622904, -0.0006667315884181235, 1.061067197112771, -2.119157893681974, 0.0025209972154502935, 1.0600005294411368, -2.1419861440727512, 0.00047700780103099305, 1.030575057610946, -2.139176019088495, -0.0012012384620456729, 1.034149555896951)","(0.12588675037256786, 0.0011048741440463404, -0.0660221769542957, 0.11442069795462728, -0.0007406163647300939, -0.059861800130582975, 0.14902621507999486, 0.0013494823616196417, -0.07347983173703924, 0.1437574220566535, -0.0007875579275025656, -0.07144980063962211)","(4.034267506595265, 0.11341686771147402, -2.100397998417391, 3.7707673549219702, -0.4493644642540333, -1.9453602517978252, 7.672219203628978, -0.09391505375507006, 3.432932955620191, 7.198009433050247, 0.22091069329377788, 2.7773432163023193)"
1970/01/01/01:00:07.113000,350,7,113000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210040284911296, -0.0006632109685966725, 1.0610671892950192, -2.1191579325149004, 0.0025174822801439234, 1.0600005027991592, -2.1419861940397205, 0.00048151722665057406, 1.0305750391139803, -2.139176081861473, -0.0012057510475189659, 1.0341495581778206)","(0.12588659830287105, 0.0011044519593591219, -0.06602207553879402, 0.11442053199959673, -0.0007402326658031115, -0.059861715711809295, 0.14902599008675377, 0.0013488014173795202, -0.07347969163248876, 0.14375747592485116, -0.0007869576413983985, -0.07144982915118081)","(4.0342761842787676, 0.1127856760171539, -2.100397198454826, 3.7707753392790915, -0.4487340682963509, -1.9453559637432867, 7.672229548171779, -0.09472267096258392, 3.4329354466203332, 7.198020409422133, 0.22171936659202787, 2.777342974561982)"
1970/01/01/01:00:07.137000,351,7,133000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004071361983, -0.000659691830129816, 1.0610671816096149, -2.1191579715236717, 0.0025139684321455746, 1.0600004760575334, -2.14198624397452, 0.0004860259005781131, 1.0305750208795406, -2.1391761445594906, -0.0012102625798489086, 1.0341495601884079)","(0.1258864453360446, 0.0011040301677563463, -0.06602197392942297, 0.11442036705692187, -0.0007398488578050023, -0.05986163156360309, 0.14902576590312622, 0.0013481217350243193, -0.0734795522453898, 0.14375752901533972, -0.0007863565665098143, -0.07144985697513445)","(4.034284820866669, 0.11215474864596438, -2.100396423498676, 3.770783349253774, -0.44810386866655033, -1.945351656108421, 7.67223988207251, -0.0955301606743425, 3.432937894621121, 7.1980313769605635, 0.22252784575285198, 2.7773427773975423)"
1970/01/01/01:00:07.153000,352,7,153000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.12100411398037, -0.0006561741687001188, 1.0610671740544158, -2.119158010702826, 0.0025104556763384522, 1.0600004492184016, -2.141986293875682, 0.0004905337982998859, 1.0305750029016032, -2.139176207184004, -0.0012147730402949364, 1.034149561934714)","(0.12588629150240652, 0.001103608760975209, -0.06602187213167132, 0.11442020309655626, -0.0007394649489146288, -0.05986154768049695, 0.14902554250619782, 0.0013474432753588343, -0.07347941355259292, 0.14375758135046152, -0.0007857547414593716, -0.0714498841347401)","(4.034293417171131, 0.11152408486840387, -2.1003956731306817, 3.7707913840434286, -0.44747386619521, -1.945347329311027, 7.672250205204666, -0.09633751823227647, 3.4329403005719428, 7.198042335793222, 0.2233361276274507, 2.777342623862315)"
1970/01/01/01:00:07.173000,353,7,173000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210041563515754, -0.0006526579801882093, 1.0610671666273648, -2.1191580500471208, 0.002506944017435231, 1.0600004222838262, -2.141986343741797, 0.0004950408962356434, 1.030574985174379, -2.1391762697364154, -0.0012192824108465672, 1.0341495634224973)","(0.1258861368307732, 0.0011031877313255024, -0.0660217701506915, 0.1144200400893101, -0.0007390809468273107, -0.059861464057290086, 0.14902531987415063, 0.0013467660010343591, -0.07347927553245245, 0.14375763295182978, -0.0007851522029597092, -0.07144991065163873)","(4.034301973974522, 0.11089368398690377, -2.100394946948814, 3.7707994428772205, -0.44684406168587315, -1.9453429837537337, 7.672260517445418, -0.09714473916086926, 3.432942665384081, 7.198053286046383, 0.2241442091888417, 2.7773425130495757)"
1970/01/01/01:00:07.193000,354,7,193000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210041984806844, -0.0006491432606692271, 1.061067159326483, -2.1191580895515223, 0.0025034334599798314, 1.0600003952557842, -2.1419863935715107, 0.0004995471717030853, 1.0305749676923188, -2.139176332218076, -0.0012237906741843219, 1.034149564657291)","(0.12588598134864215, 0.0011027670715322861, -0.06602166799141206, 0.11441987800738929, -0.00073869685883839, -0.059861380688822755, 0.1490250979859612, 0.0013460898764990552, -0.07347913816358025, 0.14375768384000887, -0.0007845489859247753, -0.07144993654657374)","(4.034310492024625, 0.11026354533734165, -2.1003942445653005, 3.770807525015129, -0.44621445591554426, -1.9453386198253522, 7.672270818676096, -0.09795181915466919, 3.4329449899340174, 7.1980642278349976, 0.224952087523723, 2.777342444086861)"
1970/01/01/01:00:07.218000,355,7,213000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210042403725753, -0.0006456300064012765, 1.0610671521498736, -2.1191581292112076, 0.0024999240083758423, 1.0600003681361763, -2.1419864433635265, 0.0005040526028707859, 1.0305749504500774, -2.1391763946302778, -0.001228297813654855, 1.0341495656444097)","(0.1258858250826233, 0.0011023467746940833, -0.06602156565860096, 0.11441971682415447, -0.0007383126918078222, -0.05986129757020168, 0.14902487682162335, 0.001345414867882728, -0.07347900142616785, 0.14375773403520098, -0.0007839451237644862, -0.07144996183976768)","(4.034318972044819, 0.1096336682866624, -2.1003935656107307, 3.7708156297466306, -0.4455850496350968, -1.945334237898669, 7.672281108784593, -0.0987587540726258, 3.4329472750611028, 7.198075161274589, 0.22575975982784424, 2.777342416134944)"
1970/01/01/01:00:07.233000,356,7,233000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210042820319392, -0.0006421182138236503, 1.0610671450957048, -2.1191581690215333, 0.002496415666872309, 1.0600003409268357, -2.1419864931165957, 0.0005085571687235557, 1.0305749334425336, -2.1391764569742655, -0.0012328038132283226, 1.0341495663889617)","(0.12588566805794066, 0.001101926834222529, -0.06602146315678896, 0.11441955651403216, -0.0007379284522762607, -0.059861214696698924, 0.14902465636166035, 0.001344740942889331, -0.07347886530073937, 0.14375778355654054, -0.0007833406482020205, -0.07144998655033136)","(4.034327414726584, 0.10900405223104918, -2.1003929097263985, 3.770823756387636, -0.4449558435721438, -1.9453298383307898, 7.672291387660838, -0.0995655399310452, 3.4329495215770867, 7.198086086473934, 0.2265672234037433, 2.7773424283888435)"
1970/01/01/01:00:07.253000,357,7,253000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210043234632776, -0.0006386078795435068, 1.0610671381622252, -2.1191582089780496, 0.0024929084395886036, 1.060000313629521, -2.141986542829523, 0.0005130608490251376, 1.0305749166647562, -2.1391765192512366, -0.0012373086574823944, 1.0341495668958567)","(0.1258855102991052, 0.0011015072439218008, -0.0660213604904421, 0.11441939705272047, -0.0007375441464864961, -0.05986113206364359, 0.14902443658782455, 0.0013440680705979825, -0.07347872976892066, 0.14375783242251372, -0.0007827355896520372, -0.07145001069659425)","(4.034335820737245, 0.10837469659583382, -2.1003922765707497, 3.770831904282961, -0.44432683843158594, -1.9453254214690205, 7.672301655200883, -0.1003721728942369, 3.432951730257984, 7.198097003537365, 0.22737447565107347, 2.777342480074022)"
1970/01/01/01:00:07.273000,358,7,273000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210043646709265, -0.0006350990003340939, 1.0610671313477473, -2.1191582490764773, 0.0024894023305126467, 1.0600002862459217, -2.141986592501155, 0.0005175636242826798, 1.0305749001120112, -2.139176581462337, -0.0012418123315631746, 1.0341495671698127)","(0.12588535182934246, 0.001101087997921521, -0.06602125766380325, 0.11441923841662754, -0.0007371597802726805, -0.05986104966658503, 0.14902421748190814, 0.0013433962216855503, -0.07347859481284603, 0.14375788065051148, -0.0007821299769407318, -0.07145003429598529)","(4.03434419071728, 0.10774560083433582, -2.100391665812851, 3.770840072801356, -0.443698034897454, -1.9453209876432882, 7.672311911304566, -0.10117864927116194, 3.43295390185056, 7.198107912566682, 0.22818151406551312, 2.777342570443039)"
1970/01/01/01:00:07.294000,359,7,293000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210044056590514, -0.0006315915731294197, 1.0610671246506511, -2.1191582893127023, 0.002485897343506238, 1.06000025877767, -2.141986642130391, 0.0005220654757192023, 1.0305748837797477, -2.139176643608671, -0.0012463148211692143, 1.03414956721537)","(0.12588519267111192, 0.0011006690906424322, -0.06602115468106608, 0.11441908058319131, -0.0007367753591450211, -0.05986096750134107, 0.14902399902682267, 0.0013427253679538058, -0.07347846041555833, 0.14375792825780487, -0.0007815238378754128, -0.07145005736574211)","(4.0343525252840085, 0.10711676442630197, -2.1003910771359084, 3.770848261336824, -0.4430694336327163, -1.9453165371721182, 7.6723221558764285, -0.10198496550535438, 3.4329560370746464, 7.198118813658094, 0.2289883362331305, 2.7773426987809056)"
1970/01/01/01:00:07.313000,360,7,313000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004446431656, -0.0006280855950127062, 1.0610671180693716, -2.119158329682774, 0.002482393482317491, 1.060000231226331, -2.1419866917161663, 0.0005265663852371816, 1.030574867663585, -2.1391767056913, -0.0012508161125159845, 1.0341495670368905)","(0.12588503284586178, 0.0011002505169549538, -0.06602105154617488, 0.11441892353096757, -0.0007363908883707947, -0.05986088556388378, 0.14902378120622523, 0.0013420554826552831, -0.07347832656101005, 0.14375797526049772, -0.0007809171987072949, -0.07145007992177398)","(4.034360825030833, 0.10648818687764955, -2.1003905102343428, 3.7708564693063487, -0.44244103528103285, -1.9453120703656266, 7.6723323888231425, -0.10279111817240952, 3.4329581366208606, 7.19812970690392, 0.22979493982925747, 2.777342864397109)"
1970/01/01/01:00:07.333000,361,7,333000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210044869925975, -0.000624581063219054, 1.0610671116024095, -2.1191583701828964, 0.002478890750584384, 1.0600002035934146, -2.1419867412574636, 0.0005310663353910172, 1.0305748517593152, -2.13917676771125, -0.0012553161923234413, 1.0341495666385763)","(0.12588487237431079, 0.0010998322717574048, -0.06602094826304934, 0.11441876723904013, -0.0007360063729301453, -0.05986080385026776, 0.14902356400404543, 0.0013413865400695095, -0.07347819323302966, 0.14375802167439164, -0.0007803100847697665, -0.07145010197970099)","(4.034369090526766, 0.10585986771785016, -2.100389964813009, 3.7708646961503987, -0.4418128404683569, -1.9453075875177546, 7.672342610058208, -0.10359710397252044, 3.4329602011561824, 7.198140592397808, 0.23060132260930033, 2.7773430666272105)"
1970/01/01/01:00:07.353000,362,7,353000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004527345579, -0.0006210779751256723, 1.061067105248319, -2.1191584108094155, 0.0024753891518400906, 1.0600001758803703, -2.1419867907533057, 0.000535565309363939, 1.030574836062888, -2.1391768296695, -0.001259815047789381, 1.0341495660244613)","(0.1258847112763319, 0.0010994143504554491, -0.06602084483553458, 0.11441861168769027, -0.0007356218174529334, -0.05986072235653205, 0.14902334740496762, 0.0013407185156839513, -0.07347806041687846, 0.14375806751432635, -0.0007797025201606704, -0.0714501235544914)","(4.034377322322805, 0.10523180650310465, -2.1003894405898578, 3.7708729413293685, -0.44118484980407546, -1.9453030889120653, 7.672352819496055, -0.10440291972540801, 3.432962231319333, 7.198151470223662, 0.2314074824100968, 2.7773433048343925)"
1970/01/01/01:00:07.373000,363,7,373000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210045674941655, -0.000617576328248326, 1.0610670990057036, -2.119158451558823, 0.002471888689518309, 1.0600001480885926, -2.141986840202753, 0.0005400632909342562, 1.0305748205704077, -2.139176891567004, -0.0012643126665574655, 1.0341495651984358)","(0.12588454957088702, 0.0010989967485416235, -0.06602074126699177, 0.11441845685756175, -0.0007352372264232856, -0.0598606410793465, 0.14902313139444753, 0.001340051386144144, -0.07347792809840706, 0.14375811279497913, -0.0007790945280083098, -0.07145014466047765)","(4.034385520946175, 0.10460400281149973, -2.1003889372913447, 3.770881204324813, -0.4405570638799159, -1.9452985748226395, 7.672363017055754, -0.1052085623648577, 3.4329642277267522, 7.198162340467383, 0.23221341714239677, 2.7773435784026184)"
1970/01/01/01:00:07.393000,364,7,393000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004607441786, -0.000614076120236895, 1.061067092873226, -2.119158492427742, 0.0024683893669621426, 1.0600001202194278, -2.1419868896049064, 0.0005445602644575942, 1.0305748052781247, -2.1391769534046734, -0.0012688090367225513, 1.0341495641642373)","(0.12588438727636317, 0.001098579461789656, -0.06602063756106766, 0.11441830273040446, -0.0007348526040401784, -0.059860560014946516, 0.1490229159581077, 0.0013393851289471488, -0.07347779626332177, 0.14375815753002297, -0.0007784861302712584, -0.0714501653113388)","(4.03439368690554, 0.10397645624352955, -2.100388454654705, 3.770889484640697, -0.4399294832736034, -1.9452940455131742, 7.6723732026604115, -0.10601402893504489, 3.4329661909704123, 7.198173203210335, 0.2330191247914218, 2.777343886740959)"
1970/01/01/01:00:07.413000,365,7,413000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004647191742, -0.0006105773488718214, 1.061067086849591, -2.1191585334129304, 0.0024648911874223245, 1.0600000922741621, -2.1419869389588992, 0.0005490562148366962, 1.0305747901824347, -2.139177015183389, -0.0012733041467862805, 1.0341495629254647)","(0.12588422441024008, 0.0010981624864167027, -0.06602053372122076, 0.1144181492884794, -0.0007344679541532356, -0.059860479160184776, 0.14902270108250587, 0.0013387197226018182, -0.07347766489861295, 0.14375820173300935, -0.0007778773481985767, -0.0714501855206041)","(4.034401820690982, 0.10334916642288897, -2.1003879924258677, 3.7708977817961356, -0.43930210854686624, -1.9452895012362919, 7.672383376236745, -0.1068193165842519, 3.4329681216204126, 7.198184058531284, 0.23382460341204067, 2.7773442292789086)"
1970/01/01/01:00:07.433000,366,7,433000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210046867472103, -0.0006070800120605568, 1.0610670809335518, -2.119158574511264, 0.0024613941540696516, 1.060000064254048, -2.1419869882639038, 0.0005535511275063243, 1.0305747752798613, -2.139177076904005, -0.0012777979856553046, 1.0341495614855836)","(0.12588406098959704, 0.001097745818522625, -0.06602042975045362, 0.1144179965147775, -0.0007340832806232264, -0.05986039851178338, 0.14902248675441282, 0.0013380551466265324, -0.07347753399121638, 0.14375824541653154, -0.0007772682018986761, -0.07145020530060876)","(4.034409922771717, 0.1027221329928149, -2.1003875503609755, 3.770906095331825, -0.4386749402493582, -1.945284942236492, 7.672393537712538, -0.10762442256287405, 3.4329700202286415, 7.198194906505351, 0.23462985112350587, 2.7773446054704154)"
1970/01/01/01:00:07.453000,367,7,453000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004726111246, -0.0006035841078331217, 1.061067075123911, -2.119158615719746, 0.002457898269996761, 1.0600000361602753, -2.141987037519124, 0.0005580449884039496, 1.0305747605670685, -2.139177138567339, -0.0012822905426128628, 1.034149559847923)","(0.12588389703054387, 0.0010973294548171234, -0.06602032565197591, 0.11441784439286187, -0.0007336985868324991, -0.05986031806638832, 0.14902227296124104, 0.0013373913813452935, -0.07347740352932261, 0.14375828859332174, -0.0007766587107862584, -0.07145022466395773)","(4.034417993602843, 0.10209535562019706, -2.1003871282256954, 3.770914424803851, -0.43804797891671754, -1.9452803687476674, 7.672403687020611, -0.10842934421706017, 3.4329718873204986, 7.1982057472066945, 0.23543486611204073, 2.7773450147854137)"
1970/01/01/01:00:07.473000,368,7,473000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004765286785, -0.0006000896343394402, 1.0610670694195035, -2.119158657035488, 0.0024544035382181306, 1.0600000079940006, -2.141987086723791, 0.0005625377839564294, 1.0305747460408377, -2.1391772001741813, -0.0012867818073152293, 1.0341495580156979)","(0.12588373254886934, 0.0010969133917264721, -0.06602022142875222, 0.1144176929072366, -0.0007333138761564015, -0.05986023782129136, 0.14902205969098456, 0.001336728407906508, -0.07347727350032078, 0.14375833127494192, -0.0007760488933443316, -0.0714502436221439)","(4.034426033619796, 0.1014688339901742, -2.100386725792214, 3.770922769786477, -0.4374212250729222, -1.9452757809956922, 7.672413824095852, -0.1092340789859093, 3.4329737234064672, 7.1982165807071965, 0.23623964662242194, 2.7773454567180482)"
1970/01/01/01:00:07.493000,369,7,493000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004804276663, -0.0005965965898457881, 1.0610670638192206, -2.119158698455717, 0.002450909961680736, 1.0599999797563342, -2.1419871358771747, 0.0005670295010560267, 1.0305747316980742, -2.1391772617252993, -0.001291271769761515, 1.034149555991994)","(0.12588356755960964, 0.0010964976264292265, -0.0660201170838646, 0.11441754204258789, -0.00073292915159478, -0.05986015777341926, 0.14902184693197543, 0.0013360662082167042, -0.07347714389349697, 0.14375837347318646, -0.000775438767387235, -0.07145026218671631)","(4.0344340432430075, 0.10084256780817656, -2.100386342842858, 3.77093112987125, -0.43679467923016646, -1.945271179200037, 7.672423948876115, -0.11003862439682086, 3.432975528975648, 7.198227407073906, 0.23704419095955878, 2.777345930777524)"
1970/01/01/01:00:07.513000,370,7,513000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210048430836013, -0.0005931049727339044, 1.061067058321986, -2.1191587399777614, 0.002447417543269381, 1.0599999514483436, -2.141987184978568, 0.0005715201270453107, 1.0305747175357993, -2.139177323221425, -0.001295760420293668, 1.034149553779785)","(0.12588340207699364, 0.0010960821558886622, -0.06602001261956969, 0.11441739178444041, -0.0007325444161808261, -0.05986007791998653, 0.14902163467278606, 0.0013354047650177905, -0.07347701469771677, 0.143758415198887, -0.0007748283499364042, -0.07145028036849292)","(4.034442022875645, 0.10021655679950159, -2.1003859791668527, 3.770939504663009, -0.4361683418903754, -1.945266563568714, 7.6724340613007715, -0.11084297806415713, 3.4329773045007714, 7.198238226373963, 0.23784849748344916, 2.777346436495009)"
