time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.contacts
1970/01/01/01:00:33.676000,1604,33,676000000,,"[True, True, True, True]"
1970/01/01/01:00:33.696000,1605,33,696000000,,"[True, True, True, True]"
1970/01/01/01:00:33.716000,1606,33,716000000,,"[True, True, True, True]"
1970/01/01/01:00:33.736000,1607,33,736000000,,"[True, True, True, True]"
1970/01/01/01:00:33.756000,1608,33,756000000,,"[True, True, True, True]"
1970/01/01/01:00:33.776000,1609,33,777000000,,"[True, True, True, True]"
1970/01/01/01:00:33.797000,1610,33,796000000,,"[True, True, True, True]"
1970/01/01/01:00:33.818000,1611,33,818000000,,"[True, True, True, True]"
1970/01/01/01:00:33.838000,1612,33,838000000,,"[True, True, True, True]"
1970/01/01/01:00:33.857000,1613,33,856000000,,"[True, True, True, True]"
1970/01/01/01:00:33.884000,1614,33,881000000,,"[True, True, True, True]"
1970/01/01/01:00:33.896000,1615,33,896000000,,"[True, True, True, True]"
1970/01/01/01:00:33.916000,1616,33,916000000,,"[True, True, True, True]"
1970/01/01/01:00:33.936000,1617,33,936000000,,"[True, True, True, True]"
1970/01/01/01:00:33.956000,1618,33,956000000,,"[True, True, True, True]"
1970/01/01/01:00:33.976000,1619,33,976000000,,"[True, True, True, True]"
1970/01/01/01:00:33.996000,1620,33,996000000,,"[True, True, True, True]"
1970/01/01/01:00:34.019000,1621,34,18000000,,"[True, True, True, True]"
1970/01/01/01:00:34.036000,1622,34,36000000,,"[True, True, True, True]"
1970/01/01/01:00:34.056000,1623,34,56000000,,"[True, True, True, True]"
1970/01/01/01:00:34.077000,1624,34,77000000,,"[True, True, True, True]"
1970/01/01/01:00:34.096000,1625,34,96000000,,"[True, True, True, True]"
1970/01/01/01:00:34.119000,1626,34,116000000,,"[True, True, True, True]"
1970/01/01/01:00:34.136000,1627,34,136000000,,"[True, True, True, True]"
1970/01/01/01:00:34.156000,1628,34,156000000,,"[True, True, True, True]"
1970/01/01/01:00:34.176000,1629,34,176000000,,"[True, True, True, True]"
1970/01/01/01:00:34.196000,1630,34,196000000,,"[True, True, True, True]"
1970/01/01/01:00:34.220000,1631,34,220000000,,"[True, True, True, True]"
1970/01/01/01:00:34.236000,1632,34,236000000,,"[True, True, True, True]"
1970/01/01/01:00:34.257000,1633,34,257000000,,"[True, True, True, True]"
1970/01/01/01:00:34.276000,1634,34,276000000,,"[True, True, True, True]"
1970/01/01/01:00:34.296000,1635,34,296000000,,"[True, False, False, True]"
1970/01/01/01:00:34.316000,1636,34,316000000,,"[True, False, False, True]"
1970/01/01/01:00:34.336000,1637,34,336000000,,"[True, False, False, True]"
1970/01/01/01:00:34.355000,1638,34,356000000,,"[True, False, False, True]"
1970/01/01/01:00:34.377000,1639,34,377000000,,"[True, False, False, True]"
1970/01/01/01:00:34.396000,1640,34,396000000,,"[True, False, True, True]"
1970/01/01/01:00:34.416000,1641,34,416000000,,"[True, False, True, True]"
1970/01/01/01:00:34.438000,1642,34,438000000,,"[False, True, True, False]"
1970/01/01/01:00:34.456000,1643,34,456000000,,"[False, True, True, False]"
1970/01/01/01:00:34.481000,1644,34,481000000,,"[False, True, True, False]"
